epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,20851.7,0.93818,0.86528,1.11482,0.83305,0.58221,0.64703,0.36747,1.42588,0.85582,1.32365,0.000197992,0.000197992,0.000197992
75,21040.3,0.92528,0.85346,1.11203,0.83348,0.5507,0.62049,0.35935,1.44014,0.84789,1.33366,0.000190924,0.000190924,0.000190924
76,21177.1,0.92698,0.84682,1.11209,0.85152,0.60308,0.68011,0.3852,1.4729,0.87703,1.35489,0.000183855,0.000183855,0.000183855
77,21348.5,0.92666,0.84703,1.10803,0.85323,0.5696,0.65026,0.37453,1.45073,0.84256,1.34351,0.000176786,0.000176786,0.000176786
78,21533.5,0.92217,0.84751,1.10905,0.88953,0.56682,0.65848,0.37878,1.44515,0.85492,1.35061,0.000169718,0.000169718,0.000169718
79,21684.1,0.91522,0.83789,1.10235,0.8881,0.6008,0.68215,0.395,1.4762,0.8574,1.35854,0.000162649,0.000162649,0.000162649
80,21852.2,0.92191,0.83546,1.10601,0.88333,0.56603,0.65689,0.38018,1.43544,0.84098,1.32128,0.000155581,0.000155581,0.000155581
81,22007.7,0.91146,0.82947,1.10461,0.86697,0.59817,0.68523,0.3868,1.47385,0.85255,1.35941,0.000148512,0.000148512,0.000148512
82,22183.9,0.91145,0.82842,1.10197,0.89209,0.60224,0.69001,0.39563,1.46577,0.83508,1.35743,0.000141443,0.000141443,0.000141443
83,22332.3,0.91509,0.83029,1.10282,0.89335,0.59964,0.69408,0.39874,1.43883,0.84032,1.3384,0.000134375,0.000134375,0.000134375
84,22474.7,0.91178,0.82935,1.10207,0.82557,0.56634,0.63281,0.36114,1.46016,0.84878,1.3393,0.000127306,0.000127306,0.000127306
85,22620.7,0.89305,0.81239,1.09729,0.88632,0.5684,0.65776,0.38428,1.43542,0.83863,1.33221,0.000120238,0.000120238,0.000120238
86,22781.6,0.90639,0.81551,1.09901,0.8916,0.60277,0.6881,0.40247,1.43619,0.83581,1.32959,0.000113169,0.000113169,0.000113169
87,22927.1,0.8934,0.80979,1.09145,0.90543,0.60994,0.68674,0.39132,1.47366,0.83592,1.36206,0.0001061,0.0001061,0.0001061
88,23095.2,0.8926,0.80892,1.09271,0.87915,0.62137,0.6893,0.40418,1.41187,0.82121,1.31733,9.90318e-05,9.90318e-05,9.90318e-05
89,23297.1,0.89942,0.81402,1.09677,0.86178,0.62224,0.691,0.39818,1.42284,0.83067,1.32273,9.19632e-05,9.19632e-05,9.19632e-05
90,23472.6,0.8956,0.80739,1.09194,0.8499,0.61791,0.68822,0.39886,1.43298,0.8368,1.32334,8.48946e-05,8.48946e-05,8.48946e-05
